rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
37,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",5,30,152,"620784"
38,"spotify:track:4JwsoOcsHk8nObYh0JVVE0","Megan Moroney","Cloud 9","Columbia Nashville/Columbia Records",38,-1,2,"613933"
39,"spotify:track:2N1D5t5zkvlNElbH9q0vBv","Baby Keem, Too $hort","$ex Appeal (feat. Too $hort)","pgLang/Columbia",39,-1,1,"613371"
40,"spotify:track:5smzdAtuOJOp3jEKjTno3p","Megan Moroney, Ed Sheeran","I Only Miss You (feat. Ed Sheeran)","Columbia Nashville/Columbia Records",40,-1,1,"610364"
41,"spotify:track:3yWuTOYDztXjZxdE2cIRUa","Taylor Swift","Opalite","Taylor Swift",2,37,140,"609016"
42,"spotify:track:76uwSqRmmSfRZVocIceH1b","Baby Keem","I am not a Lyricist","pgLang/Columbia",42,-1,1,"606272"
43,"spotify:track:5waTXjl4V7YBw1Bo4CsjlM","Baby Keem","Circus Circus Free$tyle","pgLang/Columbia",43,-1,1,"600005"
44,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",9,28,631,"599964"
45,"spotify:track:5UmyTT5HZdztMfDL3lva0r","Megan Moroney","Wedding Dress","Columbia Nashville/Columbia Records",45,-1,1,"598665"
46,"spotify:track:312z6PZ8wwREck8613PkJk","Olivia Dean","A Couple Minutes","PLG - Capitol",20,31,111,"590554"
47,"spotify:track:7IM4xK4W4n06UAV48ZXMup","Lana Del Rey","White Feather Hawk Tail Deer Hunter","Polydor Records",47,195,3,"581632"
48,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",7,34,487,"568401"
49,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",9,32,715,"566565"
50,"spotify:track:5OUtx1HW0cLbt1bCuSHlw8","Baby Keem","Highway 95 pt.2","pgLang/Columbia",50,-1,1,"561366"
51,"spotify:track:4jyyma8YdFC4S4llusSFRu","Brent Faiyaz","butterflies.","ISO Supremacy under exclusive license to UnitedMasters LLC",42,42,7,"557827"
52,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",1,43,259,"550872"
53,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",13,35,1802,"547827"
54,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,40,553,"544997"
55,"spotify:track:1VOSSXuWRcBj2rpfxNdX9v","Whiskey Myers","Broken Window Serenade","Whiskey Myers",39,39,205,"544870"
56,"spotify:track:03tqyYWC9Um2ZqU0ZN849H","Waka Flocka Flame, Roscoe Dash, Wale","No Hands (feat. Roscoe Dash & Wale)","Asylum/Warner Records",27,44,337,"542258"
57,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",1,38,455,"538719"
58,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,45,94,"536244"
59,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",11,47,206,"534511"
60,"spotify:track:4L8wCqX7DmID3UJ64w8Mrw","Megan Moroney","Stupid","Columbia Nashville/Columbia Records",60,-1,1,"532401"
61,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",7,41,2007,"531968"
62,"spotify:track:5IMpnpD0tQVcqWlVIgtAtV","Bella Kay","iloveitiloveitiloveit","2026 Bella Kay",46,51,10,"527511"
63,"spotify:track:6LxSe8YmdPxy095Ux6znaQ","Drake","Headlines","Cash Money Records/Young Money Ent./Universal Rec.",22,50,342,"514600"
64,"spotify:track:05gychGDaYtqT3sWQhZydb","Baby Keem, Che Ecru","Dramatic Girl (feat. Che Ecru)","pgLang/Columbia",64,-1,1,"514396"
65,"spotify:track:0eaVIYo2zeOaGJeqZ5TwYz","Don Toliver","No Pole","Cactus Jack / Atlantic",18,49,491,"511973"
66,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",4,46,553,"508408"
67,"spotify:track:2A22iI0x4EYAVXNpKPhNEM","Ella Langley","weren't for the wind","SAWGOD/Columbia",10,53,311,"507975"
68,"spotify:track:7FudQLDIYCX6F7ruexVn2X","Ella Langley","Dandelion","SAWGOD/Columbia",32,56,22,"502267"
69,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",28,52,110,"494128"
70,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",14,63,62,"492877"
71,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",3,54,570,"490936"
72,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",8,60,253,"483432"
73,"spotify:track:69CIhFjydgACEgjvP6aAW2","Megan Moroney","6 Months Later","Columbia Nashville/Columbia Records",5,-1,33,"483146"
74,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",2,48,644,"482367"
75,"spotify:track:4GrcvxYshSyTp9pylMNtNc","Megan Moroney","Wish I Didn't","Columbia Nashville/Columbia Records",55,-1,3,"480497"
76,"spotify:track:3pAVk6Ydn0dcGpG8gDyxSJ","BigXthaPlug, Ella Langley","Hell At Night (feat. Ella Langley)","BigXthaPlug under exclusive license to UnitedMasters LLC",19,62,187,"474709"
77,"spotify:track:2gR4GB0rVFtzbjTZr88FQS","Megan Moroney","Convincing","Columbia Nashville/Columbia Records",77,-1,1,"473044"
78,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",5,61,348,"466804"
79,"spotify:track:2NaPv5JZYCmddKX1qwZQrM","Megan Moroney","Liars & Tigers & Bears","Columbia Nashville/Columbia Records",79,-1,1,"460900"
80,"spotify:track:57ENogEkvFsU7Wmt3lvQMG","J. Cole","Two Six","Cole World, Inc., under exclusive license to Interscope Records.",3,76,15,"457452"
81,"spotify:track:6K4t31amVTZDgR3sKmwUJJ","Tame Impala","The Less I Know The Better","Universal Music Australia Pty. Ltd.",55,58,1193,"455805"
82,"spotify:track:0InIeZW4P6VO7dUGRM4AKH","The Marías","Sienna","Nice Life/Atlantic",12,64,238,"454761"
83,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",73,73,48,"454332"
84,"spotify:track:71uKhNSaUogUkjMRw5jiw7","Megan Moroney, Kacey Musgraves","Bells & Whistles (feat. Kacey Musgraves)","Columbia Nashville/Columbia Records",84,-1,1,"454323"
85,"spotify:track:7B3BwNecBhKvNwSMOOl7Gk","Addison Rae","Fame is a Gun","Columbia",20,70,105,"452998"
86,"spotify:track:037wvykTRvc8meNo5IAxkz","Megan Moroney","Change of Heart","Columbia Nashville/Columbia Records",86,-1,1,"452904"
87,"spotify:track:7gF2mPcjipv2hLGHY7bi17","White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)","Calming Radiance",56,59,22,"452782"
88,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",4,89,625,"446669"
89,"spotify:track:2d8JP84HNLKhmd6IYOoupQ","Fetty Wap","Trap Queen","300 Entertainment/RGF Productions",12,78,134,"445873"
90,"spotify:track:5ihS6UUlyQAfmp48eSkxuQ","Fleetwood Mac","Landslide","Warner Records",17,80,210,"444728"
91,"spotify:track:2QGVKiAGTa1YcDqPMhAzF7","Mac Miller, Empire Of The Sun","The Spins","Rostrum Records",53,86,1393,"442256"
92,"spotify:track:1osfLqL6L2iQsirRf83ded","Riley Green","Worst Way","Nashville Harbor",34,69,407,"442032"
93,"spotify:track:0bxPRWprUVpQK0UFcddkrA","Kehlani","Folded","TSNMI / Atlantic",34,65,204,"441967"
94,"spotify:track:7AeM1BGYM7emrqmQn1PuWv","Morgan Wallen","I'm The Problem","Big Loud Records / Mercury Records / Republic Records",1,72,385,"441240"
95,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",7,67,2912,"440781"
96,"spotify:track:2za9t2qpWyUpIhnJcwopPt","Luke Combs","Sleepless in a Hotel Room","Columbia Nashville",11,57,45,"438450"
97,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",5,83,835,"434627"
98,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,84,763,"434374"
99,"spotify:track:4Z5KKoBGxpJo8YbDcGQXd5","Don Toliver, Rema","Secondhand (feat. Rema)","CactusJack/Donnway/ATL",11,71,22,"431612"
100,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",20,55,594,"428701"
101,"spotify:track:6ybZUqlfk938oS6WeBmDab","Treaty Oak Revival","Missed Call","TOR Records",49,107,297,"426929"
102,"spotify:track:03auLpFLdCv4HozP4pQseu","Don Toliver","ATM","CactusJack/Donnway/ATL",7,74,28,"426804"
103,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",1,82,511,"426306"
104,"spotify:track:5IZXB5IKAD2qlvTPJYDCFB","Post Malone, Morgan Wallen","I Had Some Help (Feat. Morgan Wallen)","Mercury Records / Republic Records",1,81,650,"424025"
105,"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","Bruno Mars","That's What I Like","Atlantic Records",3,75,740,"423658"
106,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",10,79,643,"423599"
107,"spotify:track:4KULAymBBJcPRpk1yO4dOG","Zach Bryan, Kacey Musgraves","I Remember Everything (feat. Kacey Musgraves)","Warner Records",1,68,909,"422210"
108,"spotify:track:4HyPxBQDLUnY3w7gukITrW","Tainy, Rauw Alejandro, JHAYCO","ROSITA","NEON16 LLC",108,-1,1,"421613"
109,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",7,113,249,"417639"
110,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",2,66,1257,"416815"
111,"spotify:track:33iv3wnGMrrDugd7GBso1z","Lit","My Own Worst Enemy","RCA Records Label",104,116,45,"416326"
112,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",5,93,391,"415376"
113,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",1,94,221,"415341"
114,"spotify:track:2UikqkwBv7aIvlixeVXHWt","Chris Stapleton","You Should Probably Leave","Mercury Nashville",46,111,934,"415249"
115,"spotify:track:1zi7xx7UVEFkmKfv06H8x0","Drake, Wizkid, Kyla","One Dance","Cash Money Records/Young Money Ent./Universal Rec.",7,77,863,"414963"
116,"spotify:track:7gKxCvTDWwV9wBhdeBbr3l","Olivia Dean","Nice To Each Other","PLG - Capitol",24,88,173,"412863"
117,"spotify:track:3Q7sDOGos4gxbOMkwVYgu8","Megan Moroney","Who Hurt You?","Columbia Nashville/Columbia Records",117,-1,1,"411316"
118,"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Foo Fighters","Everlong","RCA Records Label",36,91,947,"410974"
119,"spotify:track:5i9qauzaBwZwHIo7KIs2sG","Megan Moroney","Beautiful Things","Columbia Nashville/Columbia Records",55,-1,4,"410021"
120,"spotify:track:1G391cbiT3v3Cywg8T7DM1","Red Hot Chili Peppers","Scar Tissue","Warner Records",87,104,311,"408876"
121,"spotify:track:4OiF7pHMapELmWxgwShCbK","Baby Keem","No Blame","pgLang/Columbia",121,-1,1,"408819"
122,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",1,114,653,"408431"
123,"spotify:track:7ghKr0pCYyPPyp7t1FH8k4","Childish Gambino","Les","Glassnote - VMG",58,85,308,"407189"
124,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",4,87,1399,"406226"
125,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",1,92,685,"405098"
126,"spotify:track:45Z3m6yazmAi4jZuW0tzW0","Harry Styles","Aperture","Columbia",1,99,29,"402818"
127,"spotify:track:5e9TFTbltYBg2xThimr0rU","Fleetwood Mac","The Chain - 2004 Remaster","Rhino/Warner Records",55,110,251,"400332"
128,"spotify:track:1dByUyyoRKL99fJJ6VCQzb","Tate McRae","TIT FOR TAT","RCA Records Label",1,108,147,"397313"
129,"spotify:track:75HAEdeFllQlclMsXXp8ps","Megan Moroney","Table for Two","Columbia Nashville/Columbia Records",129,-1,1,"394792"
130,"spotify:track:2M38X60UJnupGPbFTkVPNQ","Brooks & Dunn","Neon Moon","Arista Nashville",69,122,160,"392603"
131,"spotify:track:5TRPicyLGbAF2LGBFbHGvO","Kanye West, Dwele","Flashing Lights","Roc-A-Fella",48,101,1013,"392530"
132,"spotify:track:0TFTAtCYhp2tQ9KcJIZb55","sombr","undressed","Warner Records",2,105,330,"390216"
133,"spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","Def Jam Recordings",26,124,125,"389260"
134,"spotify:track:7eqoqGkKwgOaWNNHx90uEZ","Frank Ocean","Nights","Boys Don't Cry",103,103,21,"388512"
135,"spotify:track:3fqwjXwUGN6vbzIwvyFMhx","Chris Stapleton","Tennessee Whiskey","Mercury Nashville",55,123,1624,"387648"
136,"spotify:track:5mCPDVBb16L4XQwDdbRUpz","Drake","Passionfruit","Cash Money Records/Young Money Ent./Universal Rec.",1,102,1160,"387443"
137,"spotify:track:4MjDJD8cW7iVeWInc2Bdyj","Bad Bunny","MONACO","Rimas Entertainment LLC",1,106,139,"384939"
138,"spotify:track:2gam98EZKrF9XuOkU13ApN","Nelly Furtado, Timbaland","Promiscuous","Mosley / Geffen",28,118,345,"383461"
139,"spotify:track:5oO3drDxtziYU2H1X23ZIp","Rihanna","Love On The Brain","Roc Nation / Rihanna",11,96,320,"383266"
140,"spotify:track:5ViLKrbyL3HD6wsq3AB9eI","Dominic Fike","White Keys","Columbia",121,121,10,"383193"
141,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",19,90,178,"382551"
142,"spotify:track:04emojnbYkrRmv5qtJcgVP","Morgan Wallen, Tate McRae","What I Want (feat. Tate McRae)","Big Loud Records / Mercury Records / Republic Records",1,119,279,"382124"
143,"spotify:track:1NXbNEAcPvY5G1xvfN57aA","Tame Impala","Dracula","Columbia",9,98,146,"381223"
144,"spotify:track:29iva9idM6rFCPUlu7Rhxl","Justin Bieber","YUKON","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",3,126,130,"380108"
145,"spotify:track:2uwnP6tZVVmTovzX5ELooy","J. Cole, Miguel","Power Trip (feat. Miguel)","Roc Nation LLC",126,168,70,"379503"
146,"spotify:track:0mflMxspEfB0VbI1kyLiAv","Noah Kahan","Stick Season","Mercury Records/Republic Records",1,109,1189,"379256"
147,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",14,97,388,"377881"
148,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",72,112,155,"375099"
149,"spotify:track:0d28khcov6AiegSCpG5TuT","Gorillaz, De La Soul","Feel Good Inc.","Parlophone UK",38,115,422,"373231"
150,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,141,674,"371209"
151,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",107,163,32,"368914"
152,"spotify:track:2hnMS47jN0etwvFPzYk11f","Sublime","Santeria","Gasoline Alley",63,149,280,"368520"
153,"spotify:track:0T3sHoiR3t9HtwbIOgTI7J","Charli xcx","Dying for You","Atlantic Records",153,153,4,"367580"
154,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",26,151,244,"364992"
155,"spotify:track:43iIQbw5hx986dUEZbr3eN","Laufey","From The Start","Laufey",30,128,686,"363849"
156,"spotify:track:59c2xv2kMzYM6HR9oY6BIa","Malcolm Todd","Sweet Boy","Columbia",109,134,50,"363817"
157,"spotify:track:3fjmSxt0PskST13CSdBUFx","Linkin Park","Somewhere I Belong","Warner Records",67,140,65,"363342"
158,"spotify:track:1uvyZBs4IZYRebHIB1747m","Prince","Purple Rain","Warner Records",13,142,53,"361104"
159,"spotify:track:6tHVEMyRfxGgQuXRzl2yOF","Olivia Dean","I've Seen It","PLG - Capitol",71,117,51,"360939"
160,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",34,127,1271,"360547"
161,"spotify:track:6d9Cs2D2RSIl9c0ulgnFe8","Don Toliver","Gemstone","CactusJack/Donnway/ATL",29,125,22,"358894"
162,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",86,135,654,"358620"
163,"spotify:track:77qLAmRzMPetmXywybpH15","Charli xcx","Chains of Love","Atlantic Records",31,100,7,"357158"
164,"spotify:track:23ZdNaFSfH7VdSVU4U0Agb","SIENNA SPIRO","You Stole The Show","Capitol Records",75,136,48,"357124"
165,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",52,120,786,"356633"
166,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,138,660,"355300"
167,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",1,152,448,"354153"
168,"spotify:track:6Jv7kjGkhY2fT4yuBF3aTz","Jeff Buckley","Lover, You Should've Come Over","Columbia/Legacy",49,131,178,"352161"
169,"spotify:track:3cPoiK69oQ1SdbB2j2ulGm","Olivia Dean","The Hardest Part","PLG - Capitol",83,132,49,"352020"
170,"spotify:track:2wAJTrFhCnQyNSD3oUgTZO","J. Cole","Work Out","Roc Nation LLC",96,180,557,"352001"
171,"spotify:track:2fuYa3Lx06QQJAm0MjztKr","Radiohead","Let Down","XL Recordings",42,130,272,"349228"
172,"spotify:track:2GHKo6nrSjruvBEQbzD7Fw","Don Toliver","Tiramisu","CactusJack/Donnway/ATL",12,157,37,"348669"
173,"spotify:track:4osgfFTICMkcGbbigdsa53","Frank Ocean","Novacane","Red Zone Entertainment / IDJ",82,148,365,"346776"
174,"spotify:track:3Gn1zuHNLtGuGEOXwq0k7e","Chris Stapleton","Think I'm In Love With You","Mercury Nashville",102,183,239,"346633"
175,"spotify:track:3ZOEytgrvLwQaqXreDs2Jx","Red Hot Chili Peppers","Can't Stop","Warner Records",133,150,86,"346024"
176,"spotify:track:736PP5LTtREkDgktNmX3Gu","Daniel Caesar","Superpowers","Republic Records",73,133,169,"344531"
177,"spotify:track:2Ui2JtVjnbHZuExldryCOA","Julia Wolf","In My Room","girls in purgatory",166,166,3,"344171"
178,"spotify:track:7KA4W4McWYRpgf0fWsJZWB","Tyler, The Creator, Kali Uchis","See You Again (feat. Kali Uchis)","Columbia",3,145,1713,"343658"
179,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",41,160,260,"343316"
180,"spotify:track:0uxSUdBrJy9Un0EYoBowng","Lil Uzi Vert","20 Min","Generation Now/Atlantic",45,159,1314,"343149"
181,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",52,137,124,"342608"
182,"spotify:track:2lv2D8ECP6YOhLoWypMeYL","Megan Moroney","Waiting On the Rain","Columbia Nashville/Columbia Records",182,-1,1,"341994"
183,"spotify:track:6ZOBP3NvffbU4SZcrnt1k6","3 Doors Down","Kryptonite","Universal Records",43,158,16,"339028"
184,"spotify:track:16yVaWo0Gmvs2wlnmJbcH7","Don Toliver","Call Back","CactusJack/Donnway/ATL",17,174,22,"338759"
185,"spotify:track:2cEnKRR4dYBB2VA1mjlb1z","YoungBoy Never Broke Again","Nevada","Never Broke Again, LLC",38,179,167,"337785"
186,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,154,484,"337111"
187,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",9,173,115,"336655"
188,"spotify:track:2Ejyg4CavumEr7lFUkk9aF","Don Toliver, Yeat","Rendezvous (feat. Yeat)","CactusJack/Donnway/ATL",10,175,22,"335685"
189,"spotify:track:583dMdiUquLMenarTp7PQm","Morgan Wallen","Last Night","Morgan Wallen",1,176,1073,"335297"
190,"spotify:track:1zM8S2pnIclcdTmrfFnWtX","Hudson Westbrook","House Again","River House Artists/Warner Records Nashville",53,161,302,"334616"
191,"spotify:track:5vPUv0xziXbV4lnWeVNXNq","Malcolm Todd","Roommates","Columbia",174,182,16,"333610"
192,"spotify:track:1HbzxLqpNVPdiBXvpC7Ovb","The Red Clay Strays","Wondering Why","Red Clay Strays",70,156,685,"333378"
193,"spotify:track:4YmsnZcxHEGEqHB3K0vdt0","Ty Dolla $ign, Quavo, Juicy J","DON'T KILL THE PARTY (feat. Quavo & Juicy J)","Atlantic Records",111,-1,34,"332017"
194,"spotify:track:2YiCMmONQcoMPX2bV1LxE0","Tears For Fears","Everybody Wants To Rule The World","UMC (Universal Music Catalogue)",25,167,967,"331951"
