rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,1,411,"1718819"
2,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",1,2,127,"1389900"
3,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",2,3,460,"1243725"
4,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,5,185,"1218436"
5,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",2,4,402,"1192263"
6,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,6,388,"1168149"
7,"spotify:track:3B4cjvGlPvyBLNG3AzEgkZ","Don Toliver","E85","CactusJack/Donnway/ATL",4,7,22,"1050030"
8,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",4,8,147,"1007830"
9,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",4,9,349,"1004298"
10,"spotify:track:5sHeIGDbdzw8DeO57XZKIy","Baby Keem, Kendrick Lamar, Momo Boyd","Good Flirts (feat. Kendrick Lamar & Momo Boyd)","pgLang/Columbia",10,-1,1,"979215"
11,"spotify:track:3VW6HJYa5l0uzGcCRA222P","Baby Keem","Ca$ino","pgLang/Columbia",11,-1,1,"965313"
12,"spotify:track:0FlcmZ13DGRmscCroro9GO","Don Toliver","Body","CactusJack/Donnway/ATL",3,10,22,"914261"
13,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,12,620,"898508"
14,"spotify:track:7aLndReanHBzpTGE5Am9H8","Luke Combs","Be By You","Columbia Nashville",8,13,8,"889951"
15,"spotify:track:4v9DYYPIivOlv2G3uMQ7mA","Megan Moroney","Medicine","Columbia Nashville/Columbia Records",15,-1,1,"879580"
16,"spotify:track:7tICCrK3CcyRFKza7yrR0z","sombr","Homewrecker","Warner Records",11,11,15,"873442"
17,"spotify:track:0TlcczkVTGpinpkGJpT81L","Twenty One Pilots","Drag Path","Fueled By Ramen",16,36,3,"837187"
18,"spotify:track:5Th1SPySWgYlkXXC6wLMwL","Baby Keem","House Money","pgLang/Columbia",18,-1,1,"829669"
19,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",14,14,233,"826574"
20,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,20,141,"792807"
21,"spotify:track:77zqs8ucHCSk5jh9TYec4b","Noah Kahan","The Great Divide","Mercury Records",1,15,22,"789739"
22,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,18,244,"787238"
23,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,16,379,"782423"
24,"spotify:track:12bYYQaLqHliSXvRIYlq8G","Bruno Mars","I Just Might","Atlantic Records",1,21,43,"781509"
25,"spotify:track:05CjWFAcAlY6O9po6Qwakk","Ella Langley","Be Her","SAWGOD/Columbia",17,19,8,"781035"
26,"spotify:track:7bwLHhqhRu0fVTM3aaeK9V","Baby Keem","Birds & the Bees","pgLang/Columbia",26,-1,1,"743048"
27,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",1,17,339,"735312"
28,"spotify:track:4LGFc5Vv5YlqTvWIa37CbG","Baby Keem","No Security","pgLang/Columbia",28,-1,1,"725537"
29,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",11,22,1985,"722141"
30,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",13,26,49,"712456"
31,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",8,24,152,"691586"
32,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",12,25,58,"677994"
33,"spotify:track:4gfrYDtaRmp6HPvN80V2ob","Morgan Wallen","I Got Better","Big Loud Records / Mercury Records / Republic Records",4,23,281,"677715"
34,"spotify:track:7cjoZVmWe2xsGR4wcXiV2v","Lil Uzi Vert","What You Saying","Roc Nation Distribution",5,27,57,"648952"
35,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",6,33,1870,"631166"
36,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",7,29,84,"622329"
