rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:77zqs8ucHCSk5jh9TYec4b","Noah Kahan","The Great Divide","Mercury Records",1,-1,1,"2935207"
2,"spotify:track:65DbTqJKhbwqYbZ1Okr0rc","Ella Langley","Choosin' Texas","SAWGOD/Columbia",1,1,106,"1462241"
3,"spotify:track:0FlcmZ13DGRmscCroro9GO","Don Toliver","Body","CactusJack/Donnway/ATL",3,-1,1,"1454148"
4,"spotify:track:3B4cjvGlPvyBLNG3AzEgkZ","Don Toliver","E85","CactusJack/Donnway/ATL",4,-1,1,"1291229"
5,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,2,599,"1251326"
6,"spotify:track:45Z3m6yazmAi4jZuW0tzW0","Harry Styles","Aperture","Columbia",1,3,8,"1218065"
7,"spotify:track:03auLpFLdCv4HozP4pQseu","Don Toliver","ATM","CactusJack/Donnway/ATL",7,50,7,"1131196"
8,"spotify:track:12bYYQaLqHliSXvRIYlq8G","Bruno Mars","I Just Might","Atlantic Records",1,5,22,"1091674"
9,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,4,164,"1066869"
10,"spotify:track:2Ejyg4CavumEr7lFUkk9aF","Don Toliver, Yeat","Rendezvous (feat. Yeat)","CactusJack/Donnway/ATL",10,-1,1,"1031273"
11,"spotify:track:4Z5KKoBGxpJo8YbDcGQXd5","Don Toliver, Rema","Secondhand (feat. Rema)","CactusJack/Donnway/ATL",11,-1,1,"986494"
12,"spotify:track:2GHKo6nrSjruvBEQbzD7Fw","Don Toliver","Tiramisu","CactusJack/Donnway/ATL",12,-1,16,"924928"
13,"spotify:track:7cjoZVmWe2xsGR4wcXiV2v","Lil Uzi Vert","What You Saying","Roc Nation Distribution",5,6,36,"920852"
14,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,7,120,"909511"
15,"spotify:track:4FUQtedaG22FWZ6lGyRApm","Don Toliver, Travis Scott","Rosary (feat. Travis Scott)","CactusJack/Donnway/ATL",15,-1,1,"884266"
16,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,9,223,"869106"
17,"spotify:track:16yVaWo0Gmvs2wlnmJbcH7","Don Toliver","Call Back","CactusJack/Donnway/ATL",17,-1,1,"837390"
18,"spotify:track:6sGIMrtIzQjdzNndVxe397","Olivia Dean","So Easy (To Fall In Love)","PLG - Capitol",4,10,126,"837321"
19,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",1,8,318,"828395"
20,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",7,11,73,"798837"
21,"spotify:track:6yOHshc12fwMtM74xoy4je","HARDY, Eric Church, Morgan Wallen, Tim McGraw","McArthur","Big Loud Records",21,-1,1,"793000"
22,"spotify:track:0FMAKUsgIBszj75WEENYDO","Don Toliver","Long Way To Calabasas","CactusJack/Donnway/ATL",22,-1,1,"781099"
23,"spotify:track:2gYTC8DsplN3RNdpdBcCOQ","SIENNA SPIRO","Die On This Hill","Capitol Records",12,15,37,"777602"
24,"spotify:track:3Hb28pse82bhnmW9sjTahL","Don Toliver, Teezo Touchdown","All The Signs (feat. Teezo Touchdown)","CactusJack/Donnway/ATL",24,-1,1,"756774"
25,"spotify:track:3Y1ZpXS4HETFHDdBNfNU0I","Don Toliver","OPPOSITE","CactusJack/Donnway/ATL",25,-1,1,"753892"
26,"spotify:track:0myRViRgmQ3J8izICXEAVO","She & Him","I Thought I Saw Your Face Today","Merge Records",7,14,63,"753554"
27,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",8,12,131,"747660"
28,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",13,16,28,"730213"
29,"spotify:track:6d9Cs2D2RSIl9c0ulgnFe8","Don Toliver","Gemstone","CactusJack/Donnway/ATL",29,-1,1,"728610"
30,"spotify:track:2A5cwtDZpk7RvsPolrF4UL","Don Toliver","Excavator","CactusJack/Donnway/ATL",30,-1,1,"718669"
31,"spotify:track:3kw29NreyBGyArNmYARr63","Don Toliver","Tuition","CactusJack/Donnway/ATL",31,-1,1,"718506"
32,"spotify:track:7FudQLDIYCX6F7ruexVn2X","Ella Langley","Dandelion","SAWGOD/Columbia",32,-1,1,"715979"
33,"spotify:track:0gl5Yt7KlvwIb8LmPHmBTc","Don Toliver, SahBabii","K9 (feat. SahBabii)","CactusJack/Donnway/ATL",33,-1,1,"715456"
34,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",1,13,358,"711108"
35,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",11,17,1964,"704540"
