date,pre_imbalance,post_imbalance,imbalance_shift
2025-01-29,-0.0154933316176709,0.10752162311041667,0.12301495472808757
2024-12-18,-0.2170747373258009,0.012425619683322118,0.22950035700912302
2024-11-07,0.02241842573445406,0.0360021465969695,0.013583720862515442
2024-09-18,0.016705505567669206,-0.026913849235081427,-0.04361935480275063
2024-07-31,-0.1085578739730159,0.004705321276890706,0.1132631952499066
2024-06-12,-0.18313474177237235,0.24177741584117401,0.4249121576135464
2024-05-01,0.1359362079264762,-0.0021807703658004753,-0.13811697829227668
2024-03-20,-0.06371070076318738,-0.007518185014462194,0.05619251574872519
2024-01-31,-0.0656399319191707,0.030094316261601594,0.0957342481807723
2023-12-13,0.016579898494016223,0.05998157909995028,0.04340168060593405
2023-11-01,-0.105153498555606,-0.037002892519496004,0.06815060603611
2023-09-20,0.2414733881191305,0.0096039460931254,-0.2318694420260051
2023-07-26,-0.009453002500456864,-0.04025509165074567,-0.030802089150288807
2023-06-14,0.040045501123852266,0.09120846261319013,0.05116296148933786
2023-05-03,-0.04107411518108964,-0.08749404261557887,-0.046419927434489236
2023-03-22,0.08616659884885439,-0.007802845055232562,-0.09396944390408694
2023-02-01,-0.022355154425180834,0.0370709564904975,0.05942611091567833
2022-12-14,-0.1975238794279215,0.023944995428591593,0.2214688748565131
2022-11-02,-0.018103267737877588,-0.05470442166742454,-0.03660115392954695
2022-09-21,-0.04952013285130564,0.014457802030301259,0.0639779348816069
2022-07-27,-0.07742118735867878,-0.02354037189893477,0.05388081545974401
2022-06-15,-0.15286612107603037,0.0067580152235084895,0.15962413629953887
2022-05-04,-0.022254844161067492,-0.07182665459197723,-0.049571810430909746
2022-03-16,0.03531087063065819,0.036707125258309256,0.0013962546276510696
2022-01-26,0.07088677248477504,-0.027157994154551047,-0.09804476663932608
