date,actual_change_bp,predicted,surprise
2024-09-18,-25,-42.08333333333298,-17.08333333333298
2024-07-31,-50,-1.2500000000002824,48.749999999999716
2024-06-12,0,-1.2499999999988625,-1.2499999999988625
2024-05-01,0,-1.4210854715202008e-12,-1.4210854715202008e-12
2024-03-20,0,0.0,0.0
2024-01-31,0,-0.499999999999545,-0.499999999999545
2023-12-13,0,0.5961538461533226,0.5961538461533226
2023-11-01,0,-0.4038461538470075,-0.4038461538470075
2023-09-20,0,0.37499999999957,0.37499999999957
2023-07-26,0,24.44230769230753,24.44230769230753
2023-06-14,25,2.884615384614175,-22.115384615385825
2023-05-03,0,26.9404761905025,26.9404761905025
2023-03-22,25,20.43181818181763,-4.568181818182371
2023-02-01,25,26.022727272728204,1.0227272727282042
2022-12-14,25,50.374999999998145,25.374999999998145
2022-11-02,50,85.71428571430201,35.71428571430201
2022-09-21,75,79.64285714285779,4.6428571428577925
2022-07-27,75,78.36111111110999,3.3611111111099916
2022-06-15,75,74.88888888888836,-0.11111111111164007
2022-05-04,75,60.20601851852054,-14.793981481479463
2022-03-16,50,28.093749999999226,-21.906250000000774
2022-01-26,25,1.4903846153849525,-23.509615384615046
2021-12-15,0,0.63589743589979,0.63589743589979
2021-11-03,0,2.0512820512801975,2.0512820512801975
2021-09-22,0,0.0,0.0
2021-07-28,0,-0.553571428570925,-0.553571428570925
2021-06-16,0,1.6741071428579972,1.6741071428579972
2021-04-28,0,0.8035714285706951,0.8035714285706951
2021-03-17,0,-0.586134453783755,-0.586134453783755
2021-01-27,0,-1.43518518518551,-1.43518518518551
2020-12-16,0,-0.8252314814834851,-0.8252314814834851
2020-11-05,0,-0.6041666666746325,-0.6041666666746325
2020-09-16,0,-1.4062500000013851,-1.4062500000013851
2020-07-29,0,-1.3362068965520275,-1.3362068965520275
2020-06-10,0,0.8534482758612926,0.8534482758612926
2020-04-29,0,2.3275862068973723,2.3275862068973723
2020-03-03,-100,-195.2643678160851,-95.2643678160851
2020-01-29,-50,3.2068965517242574,53.206896551724256
2019-12-11,0,0.38871473354225,0.38871473354225
2019-10-30,0,-23.50833333333249,-23.50833333333249
2019-09-18,-25,-27.7777777777781,-2.7777777777780983
2019-07-31,-25,-29.749999999999943,-4.749999999999943
2019-06-19,-25,-5.131578947368265,19.868421052631735
2019-05-01,0,-0.7631578947358876,-0.7631578947358876
2019-03-20,0,0.0,0.0
2019-01-30,0,0.0,0.0
2018-12-19,0,17.077192982456822,17.077192982456822
2018-11-08,25,3.7796052631541945,-21.220394736845805
2018-09-26,0,25.38461538461525,25.38461538461525
2018-08-01,25,1.25000000000026,-23.74999999999974
2018-06-13,0,21.346153846154102,21.346153846154102
2018-05-02,25,-11.326923076938032,-36.32692307693803
2018-03-21,0,25.833333333332902,25.833333333332902
2018-01-31,25,1.2500000000002824,-23.749999999999716
2017-12-13,0,25.63461538461582,25.63461538461582
2017-11-01,25,-1.1538461538455724,-26.15384615384557
2017-09-20,0,-2.220446049250313e-14,-2.220446049250313e-14
2017-07-26,0,0.5961538461533,0.5961538461533
2017-06-14,0,22.82967032967088,22.82967032967088
2017-05-03,25,3.8040293040183295,-21.19597069598167
2017-03-15,0,21.18333333333462,21.18333333333462
2017-02-01,25,1.8666666666662926,-23.133333333333706
2016-12-14,0,23.25000000000087,23.25000000000087
2016-11-02,25,-12.85714285710659,-37.85714285710659
2016-09-21,0,2.8571428571443125,2.8571428571443125
2016-07-27,0,0.574074074075185,0.574074074075185
2016-06-15,0,-0.68518518518541,-0.68518518518541
2016-04-27,0,0.8333333333341575,0.8333333333341575
2016-03-16,0,2.20659722222205,2.20659722222205
2016-01-27,0,2.8703703703693897,2.8703703703693897
2015-12-16,0,17.204282407407465,17.204282407407465
2015-10-28,25,1.1071428571434225,-23.892857142856577
2015-09-17,0,4.348739495795795,4.348739495795795
2015-07-29,0,0.5344827586217225,0.5344827586217225
2015-06-17,0,1.5821501014207724,1.5821501014207724
2015-04-29,0,0.2575862068959875,0.2575862068959875
2015-03-18,0,2.5833333333334303,2.5833333333334303
2015-01-28,0,0.5535714285709226,0.5535714285709226
2014-12-17,0,-0.097884453781485,-0.097884453781485
2014-10-29,0,-0.26724137931162,-0.26724137931162
2014-09-17,0,-0.06085192697763,-0.06085192697763
2014-07-30,0,0.2583333333330975,0.2583333333330975
2014-06-18,0,0.77777777777699,0.77777777777699
2014-04-30,0,0.2499999999997725,0.2499999999997725
2014-03-19,0,0.407894736841735,0.407894736841735
2014-01-29,0,0.8017241379303024,0.8017241379303024
2013-12-18,0,-0.0593869731801875,-0.0593869731801875
2013-10-30,0,-0.516666666667665,-0.516666666667665
2013-09-18,0,1.1944444444457252,1.1944444444457252
2013-07-31,0,0.499999999999545,0.499999999999545
2013-06-19,0,1.9736842105267625,1.9736842105267625
2013-05-01,0,-2.2499999999993725,-2.2499999999993725
2013-03-20,0,-0.7750000000014975,-0.7750000000014975
2013-01-30,0,-1.03333333333239,-1.03333333333239
2012-12-12,0,-3.186111111111885,-3.186111111111885
2012-10-24,0,-1.2916666666673273,-1.2916666666673273
2012-09-13,0,-1.3942307692327773,-1.3942307692327773
2012-08-01,0,-1.2868589743597625,-1.2868589743597625
2012-06-20,0,-2.7755575615628906e-15,-2.7755575615628906e-15
2012-04-25,0,-0.900000000000885,-0.900000000000885
2012-03-13,0,0.951461538463305,0.951461538463305
2012-01-25,0,0.309999999999715,0.309999999999715
2011-12-13,0,2.0984615384630225,2.0984615384630225
2011-11-02,0,-15.784615384630579,-15.784615384630579
