artist,streams
Bad Bunny,39822293
Olivia Dean,22525951
Ella Langley,20720553
Don Toliver,17344656
sombr,14593327
Baby Keem,12792892
PinkPantheress,11034954
Fleetwood Mac,10311441
Kendrick Lamar,9925797
Taylor Swift,9541189
Dominic Fike,9317245
Bruno Mars,8262597
Morgan Wallen,7688191
Billie Eilish,6703760
The MarÃ­as,6656580
Drake,6613033
Djo,6485724
Zach Bryan,6165936
Chappell Roan,5986155
The Killers,5331410
HUNTR/X,5321512
Alex Warren,5315842
Noah Kahan,4839737
Luke Combs,4766384
RAYE,4744467
Bella Kay,4592210
SIENNA SPIRO,4525045
Radiohead,4404365
The Goo Goo Dolls,4395587
Arctic Monkeys,4392430
She & Him,4346167
Lil Uzi Vert,4253214
Brent Faiyaz,4116119
The Neighbourhood,4018056
Gigi Perez,3840494
Waka Flocka Flame,3822308
Lady Gaga,3816477
Sabrina Carpenter,3749221
Whiskey Myers,3650024
Daniel Caesar,3636255
EsDeeKid,3593590
Zara Larsson,3560585
Twenty One Pilots,3438127
Addison Rae,3389659
Ravyn Lenae,3375610
Tame Impala,3293990
White Noise Radiance,3286374
Coldplay,3281999
Kehlani,3274894
J. Cole,3258724
Malcolm Todd,3220084
BigXthaPlug,3213091
The Weeknd,3204579
Childish Gambino,3156230
J Balvin,3129427
Benson Boone,3109729
Teddy Swims,3063557
Mac Miller,3040912
Foo Fighters,3040128
Red Hot Chili Peppers,3019282
Riley Green,2987425
Frank Ocean,2974979
Fetty Wap,2973285
Kanye West,2954490
Post Malone,2941281
Gorillaz,2925643
The Police,2920757
Nelly Furtado,2913183
Disco Lines,2906589
