artist,streams
Bad Bunny,45511192
Olivia Dean,25743944
Ella Langley,23680632
Don Toliver,19822464
sombr,16678088
Baby Keem,14620448
PinkPantheress,12611376
Fleetwood Mac,11784504
Kendrick Lamar,11343768
Taylor Swift,10904216
Dominic Fike,10648280
Bruno Mars,9442968
Morgan Wallen,8786504
Billie Eilish,7661440
The MarÃ­as,7607520
Drake,7557752
Djo,7412256
Zach Bryan,7046784
Chappell Roan,6841320
The Killers,6093040
HUNTR/X,6081728
Alex Warren,6075248
Noah Kahan,5531128
Luke Combs,5447296
RAYE,5422248
Bella Kay,5248240
SIENNA SPIRO,5171480
Radiohead,5033560
The Goo Goo Dolls,5023528
Arctic Monkeys,5019920
She & Him,4967048
Lil Uzi Vert,4860816
Brent Faiyaz,4704136
The Neighbourhood,4592064
Gigi Perez,4389136
Waka Flocka Flame,4368352
Lady Gaga,4361688
Sabrina Carpenter,4284824
Whiskey Myers,4171456
Daniel Caesar,4155720
EsDeeKid,4106960
Zara Larsson,4069240
Twenty One Pilots,3929288
Addison Rae,3873896
Ravyn Lenae,3857840
Tame Impala,3764560
White Noise Radiance,3755856
Coldplay,3750856
Kehlani,3742736
J. Cole,3724256
Malcolm Todd,3680096
BigXthaPlug,3672104
The Weeknd,3662376
Childish Gambino,3607120
J Balvin,3576488
Benson Boone,3553976
Teddy Swims,3501208
Mac Miller,3475328
Foo Fighters,3474432
Red Hot Chili Peppers,3450608
Riley Green,3414200
Frank Ocean,3399976
Fetty Wap,3398040
Kanye West,3376560
Post Malone,3361464
Gorillaz,3343592
The Police,3338008
Nelly Furtado,3329352
Disco Lines,3321816
