artist,streams,rank_weighted,num_tracks,num_days
Cigarettes After Sex,2309076.0,12236.408211926024,1,7
Joji,1798483.0,12096.94191535625,1,5
Kali Uchis,1913765.5,11914.363218823004,2,7
The Cure,1757391.0,11435.501452905544,1,5
King Von,1466130.0,10971.839786397351,1,4
Dei V,682619.3333333334,10746.147533022533,1,4
Omar Courtz,682619.3333333334,10746.147533022533,1,4
Sublime,1704827.0,10273.079546922429,1,5
Timbaland,1397031.0,10020.106917075183,2,7
Lola Young,1494525.0,9992.05686390793,1,4
Hotel Ugly,1678978.0,9778.105678669652,1,5
Miguel,1593459.0,9679.879356332622,2,4
Nelly Furtado,1294968.0,9496.706917075184,1,7
Dunn,1293971.0,9492.064180828933,1,7
Brooks,1293971.0,9492.064180828933,1,7
Tyla,1080430.0,8027.427600483716,1,3
Chuwi,844371.0,7969.787664824362,1,4
Lefty Gunplay,902496.3333333333,7793.2491440616905,1,7
lefty gunplay,902496.3333333333,7793.2491440616905,1,7
Creedence Clearwater Revival,1332981.0,7750.935021710212,1,4
Chris Brown,1333304.0,7478.424187562668,1,6
Jimin,1115187.0,7337.801893417283,1,3
Clams Casino,864813.2,5948.56932581536,1,6
Imogen Heap,864813.2,5948.56932581536,1,6
Future,828734.0,5410.209730892508,1,7
Lil Wayne,828734.0,5410.209730892508,1,7
RaiNao,760039.0,5362.400341786973,1,4
Juicy J,823789.2,4670.368678899559,1,6
Quavo,823789.2,4670.368678899559,1,6
B.o.B,699287.0,4382.35738692931,1,6
samUIL Lee,659976.0,4354.572146764957,2,7
KEVIN WOO,659976.0,4354.572146764957,2,7
Saja Boys,659976.0,4354.572146764957,2,7
Andrew Choi,659976.0,4354.572146764957,2,7
Danny Chung,659976.0,4354.572146764957,2,7
Neckwav,659976.0,4354.572146764957,2,7
T.I.,711070.0,4224.155822642041,1,2
Jay Rock,697545.5,4150.044088413043,1,4
Peso Pluma,666969.5,3942.3447557742293,1,4
Tito Double P,666969.5,3942.3447557742293,1,4
The Creator,616714.75,3887.756795992064,1,7
Tyler,616714.75,3887.756795992064,1,7
H.E.R.,661427.3333333334,3649.8340368934055,1,3
Daft Punk,650721.0,3608.01604382304,1,4
The Red Clay Strays,614503.0,3251.929619260918,1,2
ROSÉ,498415.5,2706.191127504888,1,3
Remy Boyz,434930.0,2668.0078289671783,1,2
John Summit,367410.0,2499.387755102041,1,1
Ty Dolla $ign,411894.6,2335.1843394497796,1,6
JENNIE,411890.4,2272.0354311310193,1,3
You,352151.0,2006.559301948052,1,2
Audioslave,352595.0,1969.804469273743,1,1
Ariana Grande,346814.0,1815.780104712042,1,1
Junior H,331453.0,1699.7589743589745,1,1
Three Days Grace,330180.0,1693.2307692307693,1,1
Bryson Tiller,324222.0,1621.11,1,1
Lil Jon,255782.8,1495.58776892294,1,2
Ludacris,255782.8,1495.58776892294,1,2
Steve Lacy,293275.0,1481.1868686868686,1,1
Lily Rose Depp,205945.2,1136.0177155655097,1,3
Lily-Rose Depp,205945.2,1136.0177155655097,1,3
Tems,219396.0,1108.060606060606,1,1
Syleena Johnson,175388.0,990.8926553672317,1,1
Halsey,168905.0,928.0494505494505,1,1
The Chainsmokers,168905.0,928.0494505494505,1,1
F1 The Album,172384.0,888.5773195876288,1,1
wifiskeleton,149430.5,790.6375661375662,1,1
i wanna be a jack-o-lantern,149430.5,790.6375661375662,1,1
USHER,127891.4,747.79388446147,1,2
Dave,109698.0,554.030303030303,1,1
D.O.E.,102063.0,523.4,1,1
Keri Hilson,102063.0,523.4,1,1
