artist,streams
Bad Bunny,22755596
Olivia Dean,12871972
Ella Langley,11840316
Don Toliver,9911232
sombr,8339044
Baby Keem,7310224
PinkPantheress,6305688
Fleetwood Mac,5892252
Kendrick Lamar,5671884
Taylor Swift,5452108
Dominic Fike,5324140
Bruno Mars,4721484
Morgan Wallen,4393252
Billie Eilish,3830720
The MarÃ­as,3803760
Drake,3778876
Djo,3706128
Zach Bryan,3523392
Chappell Roan,3420660
The Killers,3046520
HUNTR/X,3040864
Alex Warren,3037624
Noah Kahan,2765564
Luke Combs,2723648
RAYE,2711124
Bella Kay,2624120
SIENNA SPIRO,2585740
Radiohead,2516780
The Goo Goo Dolls,2511764
Arctic Monkeys,2509960
She & Him,2483524
Lil Uzi Vert,2430408
Brent Faiyaz,2352068
The Neighbourhood,2296032
Gigi Perez,2194568
Waka Flocka Flame,2184176
Lady Gaga,2180844
Sabrina Carpenter,2142412
Whiskey Myers,2085728
Daniel Caesar,2077860
EsDeeKid,2053480
Zara Larsson,2034620
Twenty One Pilots,1964644
Addison Rae,1936948
Ravyn Lenae,1928920
Tame Impala,1882280
White Noise Radiance,1877928
Coldplay,1875428
Kehlani,1871368
J. Cole,1862128
Malcolm Todd,1840048
BigXthaPlug,1836052
The Weeknd,1831188
Childish Gambino,1803560
J Balvin,1788244
Benson Boone,1776988
Teddy Swims,1750604
Mac Miller,1737664
Foo Fighters,1737216
Red Hot Chili Peppers,1725304
Riley Green,1707100
Frank Ocean,1699988
Fetty Wap,1699020
Kanye West,1688280
Post Malone,1680732
Gorillaz,1671796
The Police,1669004
Nelly Furtado,1664676
Disco Lines,1660908
