artist,streams
Bad Bunny,44405396
Olivia Dean,25798227
Don Toliver,24373818
Baby Keem,23704596
Ella Langley,20233258
Megan Moroney,20095905
Morgan Wallen,14874777
sombr,14371800
Kendrick Lamar,14163305
Bruno Mars,11917388
Zara Larsson,11445591
Drake,10103689
J. Cole,9203923
Frank Ocean,8597916
Fleetwood Mac,8314451
Taylor Swift,7787005
Rihanna,7777894
Dominic Fike,7368056
Noah Kahan,7209539
KPop Demon Hunters Cast,7090035
Luke Combs,6737389
Tate McRae,6597093
Zach Bryan,6543503
SZA,6282582
PinkPantheress,6197257
SIENNA SPIRO,5903127
Lil Uzi Vert,5698791
Chris Stapleton,5621650
Malcolm Todd,5599875
EJAE,5479288
REI AMI,5479288
HUNTR/X,5479288
AUDREY NUNA,5479288
Radiohead,5470105
The Marías,5452525
Daniel Caesar,5177916
Sabrina Carpenter,5152646
Billie Eilish,5139947
Djo,5101695
Chappell Roan,5064682
Tame Impala,4774581
Kanye West,4703196
Justin Bieber,4409302
Red Hot Chili Peppers,4400556
Alex Warren,4364116
The Killers,4181699
EsDeeKid,3911818
Coldplay,3803481
RAYE,3785836
She & Him,3592630
Twenty One Pilots,3583698
Arctic Monkeys,3453361
The Goo Goo Dolls,3359624
Nirvana,3344159
Momo Boyd,3339374
Brent Faiyaz,3254287
Bella Kay,3195659
The Neighbourhood,3119384
Wale,3097933
Waka Flocka Flame,3097933
Roscoe Dash,3097933
Miguel,3077940
Benson Boone,3075787
Lady Gaga,2991384
Gigi Perez,2979919
Kacey Musgraves,2932041
Whiskey Myers,2863735
Post Malone,2821340
Rauw Alejandro,2819267
The Weeknd,2803142
Ravyn Lenae,2794995
White Noise Radiance,2775673
Rain Sounds,2775673
J Balvin,2746683
Riley Green,2689984
Addison Rae,2677010
Fetty Wap,2581932
Mac Miller,2580657
Empire Of The Sun,2580657
BigXthaPlug,2556609
Playboi Carti,2480471
Kehlani,2474169
Wizkid,2411747
Kyla,2411747
Teddy Swims,2406829
Too $hort,2401003
Tinashe,2400908
Disco Lines,2400908
Foo Fighters,2378867
Childish Gambino,2371846
Kali Uchis,2360020
The Police,2326302
Dwele,2316724
Timbaland,2308180
Nelly Furtado,2308180
Rema,2306939
Lit,2294856
Treaty Oak Revival,2262374
KATSEYE,2254231
Che Ecru,2196488
Laufey,2184139
Evanescence,2180651
Gorillaz,2166126
De La Soul,2166126
Vance Joy,2162115
Shaboozey,2138949
Harry Styles,2124427
Sublime,2116566
Brooks & Dunn,2070048
Tyler,2033354
The Creator,2033354
Ed Sheeran,1968846
Gracie Abrams,1966431
Prince,1956975
Charli xcx,1951677
Future,1941960
Lil Wayne,1941960
The Red Clay Strays,1921137
Tears For Fears,1904982
Linkin Park,1755678
Jeff Buckley,1731290
3 Doors Down,1715375
Creedence Clearwater Revival,1671576
Mazzy Star,1670220
Julia Wolf,1668829
Lefty Gunplay,1624020
samUIL Lee,1610747
KEVIN WOO,1610747
Danny Chung,1610747
Andrew Choi,1610747
Saja Boys,1610747
Neckwav,1610747
Jay Rock,1600098
Lana Del Rey,1591248
Tory Lanez,1568770
TV Girl,1350348
Joji,1295437
Hudson Westbrook,1274955
Tems,1229886
Dave,1229886
King Von,981322
Hozier,976238
Dei V,965716
Omar Courtz,965716
Cigarettes After Sex,955327
Hotel Ugly,954521
YoungBoy Never Broke Again,949534
Rico Ace,949058
Three Days Grace,940128
Leon Thomas,925574
The Cranberries,657276
Chris Brown,612525
The Cure,610689
Steve Lacy,596791
Tainy,421613
JHAYCO,421613
Lynyrd Skynyrd,346690
Yeat,335685
Quavo,332017
Juicy J,332017
Ty Dolla $ign,332017
Syleena Johnson,328999
Daft Punk,322671
ERNEST,317801
Fuerza Regida,313021
Dream Supplier,300277
Omar Apollo,297842
Swae Lee,281731
Katy Perry,281252
