artist,streams
Bad Bunny,36543444
Olivia Dean,19518030
Ella Langley,17681503
Don Toliver,17344656
sombr,14593327
PinkPantheress,11034954
Taylor Swift,9541189
Djo,6485724
Dominic Fike,6283123
The Killers,5331410
HUNTR/X,5321512
Alex Warren,5315842
Bruno Mars,5155024
Noah Kahan,4839737
Luke Combs,4766384
RAYE,4744467
Bella Kay,4592210
SIENNA SPIRO,4525045
Fleetwood Mac,4509631
Morgan Wallen,4439512
Radiohead,4404365
The Goo Goo Dolls,4395587
Arctic Monkeys,4392430
She & Him,4346167
Lil Uzi Vert,4253214
Brent Faiyaz,4116119
The Neighbourhood,4018056
Gigi Perez,3840494
Waka Flocka Flame,3822308
Lady Gaga,3816477
Baby Keem,3756585
Sabrina Carpenter,3749221
Kendrick Lamar,3736012
Billie Eilish,3667153
Whiskey Myers,3650024
Daniel Caesar,3636255
The MarÃ­as,3619588
