timestamp,price
2025-04-21 12:04:07.974974+00:00,10
2025-04-21 12:04:09.694011+00:00,10
2025-04-21 12:06:19.936182+00:00,10
2025-04-21 12:07:01.754140+00:00,10
2025-04-21 12:16:28.675362+00:00,11
2025-04-21 12:39:31.397246+00:00,11
2025-04-21 12:48:32.755829+00:00,11
2025-04-21 12:52:11.756207+00:00,11
2025-04-21 13:03:34.207827+00:00,11
2025-04-21 13:04:36.577902+00:00,11
2025-04-21 13:07:13.656671+00:00,11
2025-04-21 13:08:53.035875+00:00,11
2025-04-21 13:09:20.915907+00:00,11
2025-04-21 13:09:21.196369+00:00,11
2025-04-21 13:09:39.076582+00:00,11
2025-04-21 13:09:39.455621+00:00,11
2025-04-21 13:10:14.655821+00:00,11
2025-04-21 13:14:27.875509+00:00,11
2025-04-21 13:14:35.715584+00:00,11
2025-04-21 13:14:54.496593+00:00,11
2025-04-21 13:14:54.797296+00:00,11
2025-04-21 13:14:55.016615+00:00,11
2025-04-21 13:14:55.076400+00:00,11
2025-04-21 13:14:55.216508+00:00,11
2025-04-21 13:14:55.554991+00:00,11
2025-04-21 13:14:57.195770+00:00,11
2025-04-21 13:17:35.820665+00:00,11
2025-04-21 13:19:21.694820+00:00,11
2025-04-21 13:19:47.118645+00:00,11
2025-04-21 13:21:08.455736+00:00,11
2025-04-21 13:21:21.635786+00:00,11
2025-04-21 13:21:21.736877+00:00,11
2025-04-21 13:21:38.216219+00:00,11
2025-04-21 13:21:38.395308+00:00,11
2025-04-21 13:21:43.157328+00:00,11
2025-04-21 13:21:50.275454+00:00,11
2025-04-21 13:21:50.534687+00:00,11
2025-04-21 13:21:50.675948+00:00,11
2025-04-21 13:21:51.056779+00:00,11
2025-04-21 13:21:51.314359+00:00,11
2025-04-21 13:21:58.875401+00:00,11
2025-04-21 13:22:59.976287+00:00,11
2025-04-21 13:28:10.675436+00:00,12
2025-04-21 13:28:13.434632+00:00,12
2025-04-21 13:28:52.334847+00:00,12
